,sex_F,sex_M,time_launch,time_dinner,time_late night snack,feeling_plearsure / joy,feeling_sadness / depressed,feeling_annoying,weather_sunny,weather_cloudy / rain,weather_etc,taste
74,1,0,0,1,0,1,0,0,1,0,0,spicy
14,1,0,0,1,0,1,0,0,1,0,0,savory
126,0,1,0,1,0,1,0,0,0,1,0,sweet
129,1,0,1,0,0,1,0,0,1,0,0,savory
67,0,1,0,0,1,1,0,0,0,0,1,savory
212,0,1,0,1,0,1,0,0,0,1,0,spicy
196,0,1,0,0,1,0,0,1,1,0,0,spicy
278,0,1,1,0,0,1,0,0,1,0,0,savory
19,0,1,0,1,0,1,0,0,0,0,1,savory
328,0,1,1,0,0,1,0,0,0,0,1,spicy
360,1,0,0,1,0,1,0,0,1,0,0,savory
331,1,0,0,1,0,1,0,0,0,1,0,spicy
259,1,0,1,0,0,1,0,0,1,0,0,sweet
82,0,1,0,0,1,0,0,1,1,0,0,sweet
39,0,1,0,0,1,0,0,1,0,0,1,savory
241,0,1,0,1,0,1,0,0,1,0,0,savory
260,0,1,1,0,0,1,0,0,1,0,0,savory
33,0,1,1,0,0,0,1,0,1,0,0,sweet
143,1,0,0,0,1,1,0,0,1,0,0,sweet
157,1,0,1,0,0,0,0,1,0,0,1,savory
256,1,0,1,0,0,1,0,0,1,0,0,savory
363,0,1,1,0,0,0,0,1,1,0,0,savory
25,1,0,0,1,0,1,0,0,1,0,0,savory
299,1,0,0,1,0,0,0,1,0,0,1,sweet
276,0,1,0,1,0,0,0,1,1,0,0,spicy
35,0,1,1,0,0,0,1,0,1,0,0,sweet
20,1,0,1,0,0,1,0,0,1,0,0,savory
0,1,0,1,0,0,1,0,0,1,0,0,savory
142,1,0,1,0,0,1,0,0,1,0,0,savory
22,0,1,0,1,0,0,1,0,1,0,0,spicy
347,0,1,1,0,0,0,0,1,1,0,0,spicy
191,1,0,0,1,0,1,0,0,1,0,0,savory
362,0,1,1,0,0,0,0,1,0,0,1,savory
223,1,0,1,0,0,0,1,0,0,1,0,savory
204,1,0,1,0,0,1,0,0,1,0,0,spicy
105,0,1,0,1,0,0,0,1,1,0,0,savory
277,0,1,1,0,0,0,0,1,0,1,0,savory
154,1,0,1,0,0,0,0,1,1,0,0,spicy
60,1,0,0,1,0,1,0,0,0,1,0,spicy
275,1,0,1,0,0,1,0,0,0,1,0,savory
291,0,1,1,0,0,1,0,0,1,0,0,savory
330,1,0,0,1,0,1,0,0,0,1,0,savory
248,1,0,0,1,0,1,0,0,1,0,0,spicy
314,1,0,0,1,0,1,0,0,0,1,0,spicy
368,0,1,0,1,0,0,0,1,1,0,0,spicy
284,1,0,0,1,0,0,1,0,0,0,1,savory
180,1,0,0,1,0,0,0,1,0,1,0,savory
254,1,0,1,0,0,1,0,0,1,0,0,savory
342,1,0,1,0,0,1,0,0,1,0,0,savory
194,0,1,1,0,0,1,0,0,1,0,0,spicy
18,1,0,0,0,1,0,0,1,1,0,0,savory
311,0,1,0,0,1,1,0,0,0,0,1,spicy
133,1,0,0,0,1,1,0,0,0,1,0,spicy
316,0,1,0,1,0,1,0,0,1,0,0,savory
186,0,1,0,0,1,1,0,0,0,1,0,savory
78,1,0,0,0,1,0,0,1,1,0,0,savory
225,1,0,1,0,0,1,0,0,1,0,0,spicy
279,1,0,0,0,1,0,1,0,0,1,0,spicy
309,0,1,0,1,0,1,0,0,0,0,1,savory
111,0,1,0,1,0,1,0,0,0,0,1,spicy
168,0,1,0,1,0,1,0,0,0,1,0,savory
270,1,0,0,0,1,1,0,0,0,1,0,savory
138,0,1,0,0,1,0,0,1,0,1,0,spicy
355,0,1,1,0,0,1,0,0,1,0,0,savory
31,1,0,0,1,0,1,0,0,1,0,0,spicy
289,1,0,1,0,0,1,0,0,1,0,0,savory
88,0,1,0,1,0,1,0,0,1,0,0,savory
7,0,1,1,0,0,1,0,0,1,0,0,savory
71,1,0,0,0,1,1,0,0,1,0,0,savory
301,1,0,0,0,1,1,0,0,0,0,1,savory
183,1,0,0,0,1,0,0,1,1,0,0,savory
72,1,0,1,0,0,0,0,1,0,1,0,savory
192,0,1,0,1,0,0,0,1,1,0,0,savory
