,time_launch,time_dinner,time_late night snack,feeling_plearsure / joy,feeling_sadness / depressed,feeling_annoying,weather_sunny,weather_cloudy / rain,weather_etc,taste
256,1,0,0,1,0,0,1,0,0,savory
363,1,0,0,0,0,1,1,0,0,savory
25,0,1,0,1,0,0,1,0,0,savory
299,0,1,0,0,0,1,0,0,1,sweet
276,0,1,0,0,0,1,1,0,0,spicy
35,1,0,0,0,1,0,1,0,0,sweet
20,1,0,0,1,0,0,1,0,0,savory
0,1,0,0,1,0,0,1,0,0,savory
142,1,0,0,1,0,0,1,0,0,savory
22,0,1,0,0,1,0,1,0,0,spicy
347,1,0,0,0,0,1,1,0,0,spicy
191,0,1,0,1,0,0,1,0,0,savory
362,1,0,0,0,0,1,0,0,1,savory
223,1,0,0,0,1,0,0,1,0,savory
204,1,0,0,1,0,0,1,0,0,spicy
105,0,1,0,0,0,1,1,0,0,savory
277,1,0,0,0,0,1,0,1,0,savory
154,1,0,0,0,0,1,1,0,0,spicy
60,0,1,0,1,0,0,0,1,0,spicy
275,1,0,0,1,0,0,0,1,0,savory
291,1,0,0,1,0,0,1,0,0,savory
330,0,1,0,1,0,0,0,1,0,savory
248,0,1,0,1,0,0,1,0,0,spicy
314,0,1,0,1,0,0,0,1,0,spicy
368,0,1,0,0,0,1,1,0,0,spicy
284,0,1,0,0,1,0,0,0,1,savory
180,0,1,0,0,0,1,0,1,0,savory
254,1,0,0,1,0,0,1,0,0,savory
342,1,0,0,1,0,0,1,0,0,savory
194,1,0,0,1,0,0,1,0,0,spicy
18,0,0,1,0,0,1,1,0,0,savory
311,0,0,1,1,0,0,0,0,1,spicy
133,0,0,1,1,0,0,0,1,0,spicy
316,0,1,0,1,0,0,1,0,0,savory
186,0,0,1,1,0,0,0,1,0,savory
78,0,0,1,0,0,1,1,0,0,savory
225,1,0,0,1,0,0,1,0,0,spicy
279,0,0,1,0,1,0,0,1,0,spicy
309,0,1,0,1,0,0,0,0,1,savory
111,0,1,0,1,0,0,0,0,1,spicy
168,0,1,0,1,0,0,0,1,0,savory
270,0,0,1,1,0,0,0,1,0,savory
138,0,0,1,0,0,1,0,1,0,spicy
355,1,0,0,1,0,0,1,0,0,savory
31,0,1,0,1,0,0,1,0,0,spicy
289,1,0,0,1,0,0,1,0,0,savory
88,0,1,0,1,0,0,1,0,0,savory
7,1,0,0,1,0,0,1,0,0,savory
71,0,0,1,1,0,0,1,0,0,savory
301,0,0,1,1,0,0,0,0,1,savory
183,0,0,1,0,0,1,1,0,0,savory
72,1,0,0,0,0,1,0,1,0,savory
192,0,1,0,0,0,1,1,0,0,savory
334,0,1,0,1,0,0,1,0,0,savory
209,0,1,0,0,1,0,0,1,0,spicy
92,1,0,0,1,0,0,1,0,0,savory
24,0,1,0,1,0,0,0,1,0,spicy
160,1,0,0,1,0,0,1,0,0,savory
247,0,0,1,0,1,0,1,0,0,spicy
96,1,0,0,1,0,0,0,1,0,sweet
213,1,0,0,1,0,0,1,0,0,sweet
295,1,0,0,1,0,0,1,0,0,spicy
244,0,1,0,0,0,1,0,1,0,savory
152,0,1,0,0,1,0,0,1,0,spicy
321,0,1,0,1,0,0,0,0,1,spicy
201,0,1,0,1,0,0,0,0,1,sweet
263,1,0,0,1,0,0,1,0,0,savory
187,1,0,0,1,0,0,0,1,0,savory
52,0,1,0,1,0,0,0,1,0,savory
243,0,0,1,1,0,0,0,0,1,savory
358,0,1,0,0,0,1,0,1,0,sweet
62,0,0,1,0,1,0,0,1,0,spicy
280,0,1,0,1,0,0,1,0,0,spicy
216,0,1,0,0,0,1,1,0,0,savory
220,0,0,1,1,0,0,1,0,0,spicy
294,1,0,0,1,0,0,0,0,1,spicy
61,1,0,0,1,0,0,0,0,1,spicy
208,0,1,0,1,0,0,1,0,0,savory
199,0,0,1,0,1,0,1,0,0,savory
69,0,0,1,1,0,0,1,0,0,savory
86,1,0,0,0,1,0,1,0,0,savory
200,0,1,0,1,0,0,1,0,0,sweet
94,0,1,0,1,0,0,1,0,0,spicy
134,0,1,0,1,0,0,0,0,1,spicy
190,1,0,0,0,0,1,1,0,0,spicy
55,0,1,0,1,0,0,0,1,0,sweet
283,1,0,0,0,1,0,1,0,0,savory
125,1,0,0,1,0,0,0,1,0,savory
45,1,0,0,1,0,0,0,0,1,savory
240,1,0,0,0,0,1,0,1,0,savory
340,0,1,0,0,0,1,0,1,0,savory
79,0,1,0,0,0,1,1,0,0,spicy
16,1,0,0,0,0,1,0,1,0,sweet
15,1,0,0,1,0,0,0,0,1,savory
373,0,0,1,1,0,0,0,1,0,spicy
255,0,1,0,1,0,0,1,0,0,spicy
319,1,0,0,1,0,0,0,0,1,sweet
121,0,1,0,1,0,0,0,1,0,spicy
332,1,0,0,0,1,0,0,0,1,sweet
170,1,0,0,1,0,0,0,1,0,sweet
64,0,0,1,1,0,0,1,0,0,sweet
41,0,1,0,1,0,0,1,0,0,savory
99,1,0,0,1,0,0,1,0,0,spicy
226,1,0,0,1,0,0,1,0,0,spicy
307,0,0,1,0,0,1,1,0,0,spicy
