,age_10대,age_20대,age_30대,age_40대,age_50대 이상,sex_F,sex_M,time_launch,time_dinner,time_dinner,taste
360,0,0,0,1,0,1,0,0,1,1,savory
331,0,0,0,1,0,1,0,0,1,1,spicy
259,0,0,0,1,0,1,0,1,0,0,sweet
82,1,0,0,0,0,0,1,0,0,0,sweet
39,1,0,0,0,0,0,1,0,0,0,savory
241,0,0,0,0,1,0,1,0,1,1,savory
260,0,0,0,0,1,0,1,1,0,0,savory
33,1,0,0,0,0,0,1,1,0,0,sweet
143,0,0,0,1,0,1,0,0,0,0,sweet
157,0,0,0,1,0,1,0,1,0,0,savory
256,0,0,0,0,1,1,0,1,0,0,savory
363,0,0,0,0,1,0,1,1,0,0,savory
25,0,0,0,0,1,1,0,0,1,1,savory
299,1,0,0,0,0,1,0,0,1,1,sweet
276,1,0,0,0,0,0,1,0,1,1,spicy
35,1,0,0,0,0,0,1,1,0,0,sweet
20,0,0,1,0,0,1,0,1,0,0,savory
0,0,0,0,0,1,1,0,1,0,0,savory
142,0,0,0,1,0,1,0,1,0,0,savory
22,1,0,0,0,0,0,1,0,1,1,spicy
347,0,1,0,0,0,0,1,1,0,0,spicy
191,1,0,0,0,0,1,0,0,1,1,savory
362,0,0,1,0,0,0,1,1,0,0,savory
223,0,0,0,0,1,1,0,1,0,0,savory
204,0,0,0,0,1,1,0,1,0,0,spicy
105,0,0,0,1,0,0,1,0,1,1,savory
277,0,0,1,0,0,0,1,1,0,0,savory
154,1,0,0,0,0,1,0,1,0,0,spicy
60,0,1,0,0,0,1,0,0,1,1,spicy
275,0,0,1,0,0,1,0,1,0,0,savory
291,0,0,0,0,1,0,1,1,0,0,savory
330,0,0,0,0,1,1,0,0,1,1,savory
248,0,1,0,0,0,1,0,0,1,1,spicy
314,0,1,0,0,0,1,0,0,1,1,spicy
368,1,0,0,0,0,0,1,0,1,1,spicy
284,1,0,0,0,0,1,0,0,1,1,savory
180,0,0,1,0,0,1,0,0,1,1,savory
254,1,0,0,0,0,1,0,1,0,0,savory
342,0,0,1,0,0,1,0,1,0,0,savory
194,1,0,0,0,0,0,1,1,0,0,spicy
18,0,0,0,1,0,1,0,0,0,0,savory
311,0,0,0,0,1,0,1,0,0,0,spicy
133,1,0,0,0,0,1,0,0,0,0,spicy
316,1,0,0,0,0,0,1,0,1,1,savory
186,0,0,0,0,1,0,1,0,0,0,savory
78,0,0,0,1,0,1,0,0,0,0,savory
225,0,1,0,0,0,1,0,1,0,0,spicy
279,1,0,0,0,0,1,0,0,0,0,spicy
309,0,0,0,0,1,0,1,0,1,1,savory
111,0,0,0,0,1,0,1,0,1,1,spicy
168,1,0,0,0,0,0,1,0,1,1,savory
270,0,0,1,0,0,1,0,0,0,0,savory
138,0,0,0,0,1,0,1,0,0,0,spicy
355,0,0,1,0,0,0,1,1,0,0,savory
31,0,1,0,0,0,1,0,0,1,1,spicy
289,0,0,0,1,0,1,0,1,0,0,savory
88,0,1,0,0,0,0,1,0,1,1,savory
7,0,0,0,0,1,0,1,1,0,0,savory
71,1,0,0,0,0,1,0,0,0,0,savory
301,0,0,1,0,0,1,0,0,0,0,savory
183,1,0,0,0,0,1,0,0,0,0,savory
72,1,0,0,0,0,1,0,1,0,0,savory
192,0,1,0,0,0,0,1,0,1,1,savory
334,0,0,0,0,1,0,1,0,1,1,savory
209,0,0,1,0,0,1,0,0,1,1,spicy
92,0,0,0,1,0,0,1,1,0,0,savory
24,0,1,0,0,0,1,0,0,1,1,spicy
160,0,0,0,0,1,1,0,1,0,0,savory
247,0,1,0,0,0,0,1,0,0,0,spicy
96,0,0,0,1,0,1,0,1,0,0,sweet
213,1,0,0,0,0,1,0,1,0,0,sweet
295,0,0,0,0,1,1,0,1,0,0,spicy
244,0,0,1,0,0,1,0,0,1,1,savory
152,0,1,0,0,0,1,0,0,1,1,spicy
321,1,0,0,0,0,0,1,0,1,1,spicy
201,1,0,0,0,0,0,1,0,1,1,sweet
263,0,0,0,0,1,0,1,1,0,0,savory
187,0,0,1,0,0,0,1,1,0,0,savory
52,0,0,0,1,0,1,0,0,1,1,savory
243,0,0,0,0,1,0,1,0,0,0,savory
358,0,1,0,0,0,0,1,0,1,1,sweet
62,0,1,0,0,0,1,0,0,0,0,spicy
280,0,1,0,0,0,1,0,0,1,1,spicy
216,0,0,1,0,0,1,0,0,1,1,savory
220,0,1,0,0,0,0,1,0,0,0,spicy
294,0,0,1,0,0,1,0,1,0,0,spicy
61,0,0,0,1,0,0,1,1,0,0,spicy
208,0,0,1,0,0,0,1,0,1,1,savory
199,0,0,0,1,0,0,1,0,0,0,savory
69,0,0,0,1,0,0,1,0,0,0,savory
86,1,0,0,0,0,1,0,1,0,0,savory
200,0,1,0,0,0,1,0,0,1,1,sweet
94,0,1,0,0,0,1,0,0,1,1,spicy
134,0,0,1,0,0,0,1,0,1,1,spicy
190,0,0,1,0,0,1,0,1,0,0,spicy
55,1,0,0,0,0,1,0,0,1,1,sweet
283,0,0,0,1,0,1,0,1,0,0,savory
125,0,0,1,0,0,1,0,1,0,0,savory
45,0,0,0,1,0,1,0,1,0,0,savory
240,1,0,0,0,0,1,0,1,0,0,savory
340,1,0,0,0,0,1,0,0,1,1,savory
79,0,0,0,1,0,1,0,0,1,1,spicy
16,0,0,0,1,0,0,1,1,0,0,sweet
15,0,0,0,0,1,1,0,1,0,0,savory
373,0,0,0,0,1,0,1,0,0,0,spicy
255,0,0,0,0,1,1,0,0,1,1,spicy
319,0,0,1,0,0,0,1,1,0,0,sweet
121,0,1,0,0,0,1,0,0,1,1,spicy
332,1,0,0,0,0,0,1,1,0,0,sweet
170,0,0,0,0,1,1,0,1,0,0,sweet
64,0,0,0,0,1,0,1,0,0,0,sweet
41,0,1,0,0,0,0,1,0,1,1,savory
99,1,0,0,0,0,0,1,1,0,0,spicy
226,0,0,0,1,0,1,0,1,0,0,spicy
307,1,0,0,0,0,0,1,0,0,0,spicy
298,1,0,0,0,0,1,0,0,1,1,spicy
172,0,1,0,0,0,1,0,0,1,1,spicy
317,0,0,0,0,1,1,0,1,0,0,savory
229,0,0,0,0,1,0,1,0,1,1,sweet
112,0,0,0,1,0,1,0,0,1,1,spicy
80,0,0,0,0,1,1,0,1,0,0,sweet
370,0,0,0,1,0,0,1,0,1,1,spicy
146,0,1,0,0,0,1,0,0,0,0,spicy
274,1,0,0,0,0,0,1,0,1,1,savory
42,0,1,0,0,0,0,1,0,0,0,spicy
312,0,1,0,0,0,1,0,0,1,1,spicy
53,0,0,0,0,1,0,1,0,1,1,spicy
207,1,0,0,0,0,0,1,1,0,0,spicy
153,1,0,0,0,0,0,1,0,0,0,sweet
83,0,1,0,0,0,0,1,0,0,0,spicy
222,0,1,0,0,0,1,0,0,0,0,spicy
253,0,0,1,0,0,1,0,1,0,0,sweet
326,0,0,0,0,1,1,0,1,0,0,sweet
144,1,0,0,0,0,1,0,0,0,0,sweet
23,1,0,0,0,0,0,1,1,0,0,savory
349,0,1,0,0,0,1,0,0,1,1,savory
182,1,0,0,0,0,0,1,0,0,0,savory
84,0,0,0,0,1,0,1,0,1,1,spicy
162,0,0,0,1,0,0,1,0,1,1,spicy
303,0,0,1,0,0,0,1,0,0,0,savory
38,1,0,0,0,0,1,0,0,0,0,sweet
117,1,0,0,0,0,0,1,1,0,0,sweet
230,0,0,0,1,0,0,1,0,0,0,savory
214,0,0,0,0,1,1,0,1,0,0,savory
320,0,1,0,0,0,1,0,0,0,0,savory
87,0,0,0,0,1,0,1,0,1,1,savory
100,0,0,0,1,0,1,0,0,1,1,savory
227,0,0,1,0,0,1,0,1,0,0,sweet
70,0,0,0,1,0,0,1,1,0,0,savory
5,0,0,0,1,0,1,0,0,1,1,savory
76,0,1,0,0,0,0,1,1,0,0,savory
193,1,0,0,0,0,0,1,1,0,0,spicy
