,age_10대,age_20대,age_30대,age_40대,age_50대 이상,sex_F,sex_M,time_dinner,time_late night snack,time_launch,feeling_annoying,feeling_plearsure / joy,feeling_sadness / depressed,weather_cloudy / rain,weather_etc,weather_sunny
169,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
179,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
124,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
164,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
211,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0
185,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
188,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
17,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
268,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
197,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
122,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
113,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
174,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
324,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
166,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
123,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
43,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
68,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
265,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
75,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
81,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
74,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
14,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
126,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
129,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
67,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
212,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
196,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
278,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
19,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
328,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
360,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
331,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
259,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
82,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
39,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
241,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
260,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
33,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
143,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
157,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
256,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
363,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
25,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
299,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
276,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
35,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
20,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
142,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
22,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
347,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
191,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
362,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
223,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0
204,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
105,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
277,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
154,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
60,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
275,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
291,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
330,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
248,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
314,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
368,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
284,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
180,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
254,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
342,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
194,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
18,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
311,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
133,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
316,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
186,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
78,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
225,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
279,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
309,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
111,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
168,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
270,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
138,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
355,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
31,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
289,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
88,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
7,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
71,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
301,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
183,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
72,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
192,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
334,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
209,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
92,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
24,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
160,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
247,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
96,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
213,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
295,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
244,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
152,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
321,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
201,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
263,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
187,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
